Temperature,Humidity,Light,CO2,HumidityRatio
23.18,27.272,426,721.25,0.004792988
23.15,27.2675,429.5,714,0.004783441
23.15,27.245,426,713.5,0.004779464
23.15,27.2,426,708.25,0.004771509
23.1,27.2,426,704.5,0.004756993
23.1,27.2,419,701,0.004756993
23.1,27.2,419,701.6666667,0.004756993
23.1,27.2,419,699,0.004756993
23.1,27.2,419,689.3333333,0.004756993
23.075,27.175,419,688,0.004745351
23.075,27.15,419,690.25,0.004740952
23.1,27.1,419,691,0.004739371
23.1,27.16666667,419,683.5,0.004751119
23.05,27.15,419,687.5,0.004733732
23,27.125,419,686,0.004714942
23,27.125,418.5,680.5,0.004714942
23,27.2,0,681.5,0.004728078
22.945,27.29,0,685,0.004727951
22.945,27.39,0,685,0.004745408
22.89,27.39,0,689,0.004729506
22.89,27.39,0,689.5,0.004729506
22.89,27.39,0,689,0.004729506
22.89,27.445,0,691,0.004739076
22.89,27.5,0,688,0.004748645
22.89,27.5,0,689.5,0.004748645
22.79,27.445,0,689,0.004710224
22.79,27.5,0,685.6666667,0.004719735
22.79,27.5,0,687,0.004719735
22.79,27.5,0,688,0.004719735
22.745,27.5,0,670,0.004706776
22.7,27.46333333,0,668.6666667,0.004687543
22.7,27.5,0,670,0.004693849
22.7,27.5,0,667,0.004693849
22.66666667,27.42666667,0,664.5,0.004671708
22.7,27.6,0,670,0.004711047
22.6,27.42666667,0,670.3333333,0.004652699
22.6,27.39,0,672,0.004646433
22.6,27.35666667,0,658,0.004640736
22.6,27.445,0,660.5,0.004655833
22.6,27.42666667,0,658,0.004652699
22.6,27.445,0,655,0.004655833
22.6,27.445,0,654.25,0.004655833
22.6,27.39,0,648,0.004646433
22.5,27.32333333,0,648.6666667,0.004606763
22.5,27.445,0,646,0.004627429
22.5,27.5,0,646,0.004636772
22.5,27.445,0,641.5,0.004627429
22.39,27.29,0,639,0.004570212
22.5,27.5,0,640,0.004636772
22.39,27.34,0,630.5,0.004578647
22.39,27.35666667,0,629.3333333,0.004581459
22.39,27.5,0,632,0.004605641
22.39,27.5,0,636.5,0.004605641
22.39,27.5,0,627.5,0.004605641
22.39,27.39,0,626,0.004587082
22.39,27.5,0,625.5,0.004605641
22.34,27.39,0,623.5,0.00457305
22.39,27.46333333,0,624.6666667,0.004599455
22.39,27.39,0,622,0.004587082
22.29,27.39,0,621,0.004559056
22.34,27.39,0,626.5,0.00457305
22.29,27.39,0,622,0.004559056
22.39,27.39,0,620,0.004587082
22.29,27.39,0,621.5,0.004559056
22.29,27.35666667,0,616.3333333,0.004553467
22.29,27.34,0,609,0.004550673
22.29,27.39,0,614,0.004559056
22.29,27.34,0,613.5,0.004550673
22.29,27.34,0,611,0.004550673
22.29,27.39,0,612,0.004559056
22.29,27.29,0,608,0.00454229
22.29,27.29,0,605.5,0.00454229
22.2675,27.315,0,608.5,0.004540214
22.2,27.29,0,608.5,0.004517288
22.245,27.29,0,602.5,0.004529774
22.2,27.29,0,598,0.004517288
22.2,27.29,0,595,0.004517288
22.2,27.29,0,591,0.004517288
22.245,27.245,0,591,0.00452225
22.2,27.2,0,595,0.004502283
22.2,27.29,0,594.3333333,0.004517288
22.2,27.29,0,593.5,0.004517288
22.2,27.29,0,592,0.004517288
22.15,27.245,0,586.5,0.004495971
22.2,27.2,0,586,0.004502283
22.15,27.245,0,586,0.004495971
22.2,27.245,0,584.5,0.004509785
22.1,27.245,0,584.5,0.004482195
22.1,27.2,0,585.5,0.004474738
22.13333333,27.2,0,584.6666667,0.004483903
22.2,27.2,0,577,0.004502283
22.1,27.2,0,580,0.004474738
22.125,27.2,0,582,0.00448161
22.2,27.2,0,580,0.004502283
22.1,27.15,0,578,0.004466454
22.1,27.2,0,576.5,0.004474738
22.1,27.2,0,580,0.004474738
22.1,27.2,0,572.5,0.004474738
22.1,27.2,0,567,0.004474738
22.1,27.2,0,568,0.004474738
22.1,27.2,0,574.5,0.004474738
22.1,27.2,0,564.3333333,0.004474738
22.1,27.2,0,563,0.004474738
22.1,27.15,0,564.5,0.004466454
22.06666667,27.16666667,0,566.3333333,0.004460078
22.1,27.1,0,562,0.004458169
22,27.1,0,565.5,0.004430876
22,27.1,0,570,0.004430876
22.05,27.15,0,562,0.004452763
22,27.1,0,560,0.004430876
22,27.1,0,558,0.004430876
22,27.1,0,556,0.004430876
22,27.1,0,557,0.004430876
21.9175,27.1,0,556.5,0.004408469
21.945,27.1,0,557.5,0.004415927
21.92666667,27.1,0,555,0.004410954
21.89,27.1,0,555,0.004401023
21.89,27.1,0,553,0.004401023
21.89,27.1,0,549.5,0.004401023
21.89,27.1,0,548.5,0.004401023
21.89,27.1,0,551.5,0.004401023
21.89,27.1,0,548.5,0.004401023
21.89,27.1,0,548,0.004401023
21.89,27.1,0,547.5,0.004401023
21.89,27.1,0,553,0.004401023
21.84,27.1,0,547.5,0.004387512
21.85666667,27.1,0,548.6666667,0.004392012
21.79,27.1,0,540,0.004374038
21.79,27.1,0,538,0.004374038
21.79,27.1,0,542,0.004374038
21.79,27.1,0,542,0.004374038
21.79,27.1,0,538,0.004374038
21.79,27.1,0,537.6666667,0.004374038
21.79,27.1,0,537.5,0.004374038
21.79,27.1,0,536,0.004374038
21.745,27.1,0,534.5,0.004361943
21.7,27.1,0,532.5,0.004349877
21.76,27.1,0,530,0.004365971
21.745,27.05,0,529.5,0.004353839
21.79,27.05,0,531,0.004365912
21.73,27,0,533.3333333,0.004341725
21.745,27,0,531,0.004345735
21.745,27,0,529,0.004345735
21.745,27,0,528.5,0.004345735
21.7,27,0,525,0.004333714
21.7,27,0,528.5,0.004333714
21.7,27,0,530.5,0.004333714
21.7,26.89,0,528,0.004315936
21.7,26.89,0,526,0.004315936
21.7,26.89,0,530,0.004315936
21.7,26.89,0,533.3333333,0.004315936
21.7,26.89,0,529,0.004315936
21.7,26.89,0,528,0.004315936
21.7,26.89,0,526,0.004315936
21.7,26.89,0,526,0.004315936
21.7,26.79,0,521,0.004299774
21.7,26.79,0,518,0.004299774
21.7,26.79,0,515.5,0.004299774
21.7,26.79,0,520,0.004299774
21.7,26.7675,0,523.5,0.004296138
21.7,26.79,0,525.5,0.004299774
21.7,26.79,0,525.5,0.004299774
21.7,26.79,0,514,0.004299774
21.7,26.7,0,518,0.00428523
21.7,26.7,0,518,0.00428523
21.7,26.7,0,520,0.00428523
21.6,26.7,0,521,0.004258922
21.6,26.6,0,518,0.004242862
21.6,26.65,0,517,0.004250892
21.6,26.6,0,511.5,0.004242862
21.65,26.65,0,514,0.004264003
21.6,26.55,0,515.5,0.004234832
21.6,26.5,0,517,0.004226803
21.6,26.5,0,515,0.004226803
21.6,26.5,0,512,0.004226803
21.6,26.5,0,515,0.004226803
21.65,26.55,0,511,0.004247894
21.6,26.5,0,514,0.004226803
21.6,26.445,0,508,0.004217971
21.6,26.4725,0,509.75,0.004222387
21.6,26.445,0,508.75,0.004217971
21.6,26.445,0,508.5,0.004217971
21.6,26.39,0,507,0.004209139
21.6,26.39,0,507,0.004209139
21.6,26.39,0,503.5,0.004209139
21.6,26.39,0,504,0.004209139
21.6,26.39,0,504,0.004209139
21.575,26.315,0,500.5,0.004190637
21.6,26.29,0,500,0.004193082
21.6,26.29,0,503.5,0.004193082
21.55,26.245,0,503,0.004172982
21.55,26.245,0,502.5,0.004172982
21.5,26.2,0,502,0.004152962
21.56666667,26.2,0,502,0.004170059
21.5,26.2,0,502.5,0.004152962
21.5,26.2,0,497,0.004152962
21.5,26.15,0,501.5,0.004144984
21.5,26.15,0,504,0.004144984
21.5,26.1,0,501,0.004137006
21.5,26.1,0,493.75,0.004137006
21.5,26.1,0,500,0.004137006
21.5,26.1,0,504.5,0.004137006
21.5,26.05,0,504,0.004129028
21.5,26.1,0,501,0.004137006
21.5,26,0,499,0.00412105
21.5,26,0,502,0.00412105
21.5,26,0,503.5,0.00412105
21.5,26,0,500.6666667,0.00412105
21.5,26,0,493,0.00412105
21.5,26,0,492.5,0.00412105
21.5,26,0,493,0.00412105
21.5,25.89,0,495.5,0.0041035
21.5,26,0,492.6666667,0.00412105
21.5,26,0,490,0.00412105
21.5,25.92666667,0,493,0.00410935
21.5,25.89,0,494.6666667,0.0041035
21.5,25.89,0,496,0.0041035
21.5,25.89,0,491,0.0041035
21.5,25.84,0,490.5,0.004095523
21.5,25.84,0,490,0.004095523
21.5,25.89,0,491,0.0041035
21.5,25.89,0,491.6666667,0.0041035
21.5,25.89,0,493.5,0.0041035
21.4725,25.865,0,493.75,0.004092568
21.5,25.84,0,490,0.004095523
21.5,25.79,0,488,0.004087546
21.5,25.79,0,490,0.004087546
21.5,25.79,0,487,0.004087546
21.445,25.745,0,492.5,0.004066556
21.445,25.745,0,493.5,0.004066556
21.46333333,25.76,0,493.3333333,0.004073542
21.445,25.745,0,488,0.004066556
21.5,25.79,0,487.5,0.004087546
21.42666667,25.73,0,485.3333333,0.004059579
21.39,25.7,0,484,0.004045656
21.39,25.7,0,489,0.004045656
21.445,25.745,0,488,0.004066556
21.5,25.79,0,493,0.004087546
21.39,25.7,0,491,0.004045656
21.445,25.745,0,488,0.004066556
21.445,25.745,0,487.25,0.004066556
21.39,25.7,0,489,0.004045656
21.5,25.79,0,489,0.004087546
21.39,25.7,0,486,0.004045656
21.42666667,25.73,0,484.6666667,0.004059579
21.39,25.7,0,485,0.004045656
21.39,25.7,0,487,0.004045656
21.39,25.7,0,492,0.004045656
21.39,25.7,0,490.6666667,0.004045656
21.39,25.7,0,488,0.004045656
21.39,25.7,0,485.5,0.004045656
21.39,25.7,0,486,0.004045656
21.39,25.7,0,485.5,0.004045656
21.39,25.7,0,486,0.004045656
21.39,25.7,0,480,0.004045656
21.39,25.7,0,481,0.004045656
21.39,25.7,0,481.6666667,0.004045656
21.39,25.7,0,485.5,0.004045656
21.39,25.7,0,485,0.004045656
21.39,25.7,0,473,0.004045656
21.39,25.7,0,475,0.004045656
21.39,25.7,0,486,0.004045656
21.39,25.7,0,481.5,0.004045656
21.39,25.7,0,483,0.004045656
21.39,25.7,0,479,0.004045656
21.39,25.7,0,479,0.004045656
21.39,25.7,0,479,0.004045656
21.34,25.7,0,479,0.004033195
21.39,25.7,0,479,0.004045656
21.39,25.7,0,477,0.004045656
21.39,25.7,0,477.5,0.004045656
21.29,25.7,0,477.5,0.004020769
21.34,25.7,0,480,0.004033195
21.29,25.7,0,480,0.004020769
21.34,25.7,0,482,0.004033195
21.32333333,25.7,0,480.3333333,0.004029049
21.34,25.7,0,477.5,0.004033195
21.29,25.7,0,476,0.004020769
21.39,25.7,0,479,0.004045656
21.39,25.7,0,471,0.004045656
21.29,25.7,0,474,0.004020769
21.29,25.7,0,477.5,0.004020769
21.34,25.7,0,476,0.004033195
21.29,25.7,0,474.25,0.004020769
21.39,25.7,0,475,0.004045656
21.29,25.7,0,476.5,0.004020769
21.34,25.7,0,474.5,0.004033195
21.29,25.7,0,478,0.004020769
21.29,25.7,0,475.3333333,0.004020769
21.29,25.7,0,477,0.004020769
21.29,25.7,0,475.5,0.004020769
21.29,25.7,0,477.5,0.004020769
21.29,25.7,0,477.5,0.004020769
21.29,25.7,0,478,0.004020769
21.29,25.7,0,473.5,0.004020769
21.29,25.7,0,472.5,0.004020769
21.29,25.7,0,472,0.004020769
21.29,25.7,0,469.5,0.004020769
21.29,25.7,0,466.6666667,0.004020769
21.29,25.7,0,467,0.004020769
21.29,25.7,0,469.5,0.004020769
21.2,25.6,0,469,0.003982828
21.29,25.7,0,471,0.004020769
21.29,25.7,0,469,0.004020769
21.26,25.66666667,0,467.3333333,0.00400809
21.245,25.65,0,471.5,0.004001763
21.23,25.63333333,0,471.6666667,0.003995443
21.29,25.7,0,475,0.004020769
21.2,25.6,0,471,0.003982828
21.2,25.6,0,471,0.003982828
21.245,25.65,0,471,0.004001763
21.245,25.65,0,474.5,0.004001763
21.2,25.6,0,475.5,0.003982828
21.2,25.6,0,474,0.003982828
21.2,25.6,0,469,0.003982828
21.2,25.6,0,474,0.003982828
21.2,25.6,0,474,0.003982828
21.2,25.6,0,468.5,0.003982828
21.2,25.6,0,469.5,0.003982828
21.2,25.6,0,472.5,0.003982828
21.2,25.6,0,467.5,0.003982828
21.2,25.6,0,469,0.003982828
21.2,25.55,0,466.5,0.003974999
21.2,25.5,0,469.5,0.003967171
21.2,25.5,0,469,0.003967171
21.2,25.5,0,467,0.003967171
21.2,25.5,0,467.3333333,0.003967171
21.2,25.5,0,467,0.003967171
21.2,25.5,0,464.5,0.003967171
21.2,25.445,0,466,0.00395856
21.2,25.5,0,473,0.003967171
21.2,25.39,0,475,0.003949949
21.2,25.39,0,471,0.003949949
21.2,25.39,0,470,0.003949949
21.2,25.39,0,466.25,0.003949949
21.2,25.39,0,467,0.003949949
21.2,25.39,0,473,0.003949949
21.2,25.39,0,468,0.003949949
21.2,25.39,0,463,0.003949949
21.2,25.39,0,466,0.003949949
21.2,25.39,0,467,0.003949949
21.2,25.29,0,468,0.003934293
21.2,25.39,0,468,0.003949949
21.2,25.29,0,468,0.003934293
21.2,25.34,0,465.5,0.003942121
21.2,25.39,0,464,0.003949949
